day,gb_grocery_and_pharmacy_percent_change_from_baseline,gb_ra,es_grocery_and_pharmacy_percent_change_from_baseline,es_ra,kr_grocery_and_pharmacy_percent_change_from_baseline,kr_ra
1,4.0,,-1.0,,,
2,0.0,,3.0,,,
3,1.0,,1.0,,,
4,1.0,,0.0,,,
5,1.0,,1.0,,,
6,2.0,,1.0,,,
7,4.0,1.8571428571428572,2.0,1.0,,
8,3.0,1.7142857142857142,2.0,1.4285714285714286,,
9,3.0,2.142857142857143,10.0,2.4285714285714284,,
10,2.0,2.2857142857142856,3.0,2.7142857142857144,,
11,6.0,3.0,-1.0,2.5714285714285716,,
12,2.0,3.142857142857143,4.0,3.0,,
13,2.0,3.142857142857143,8.0,4.0,,
14,4.0,3.142857142857143,-7.0,2.7142857142857144,,
15,5.0,3.4285714285714284,4.0,3.0,,
16,5.0,3.7142857142857144,6.0,2.4285714285714284,,
17,11.0,5.0,1.0,2.142857142857143,,
18,11.0,5.714285714285714,3.0,2.7142857142857144,,
19,7.0,6.428571428571429,4.0,2.7142857142857144,,
20,7.0,7.142857142857143,2.0,1.8571428571428572,,
21,20.0,9.428571428571429,2.0,3.142857142857143,,
22,21.0,11.714285714285714,1.0,2.7142857142857144,0.0,
23,22.0,14.142857142857142,7.0,2.857142857142857,0.0,
24,24.0,16.0,4.0,3.2857142857142856,-6.0,
25,10.0,15.857142857142858,18.0,5.428571428571429,-3.0,
26,1.0,15.0,17.0,7.285714285714286,-1.0,
27,-14.0,12.0,27.0,10.857142857142858,-3.0,
28,-8.0,8.0,33.0,15.285714285714286,-4.0,-2.4285714285714284
29,-24.0,1.5714285714285714,-8.0,14.0,-6.0,-3.2857142857142856
30,-26.0,-5.285714285714286,-49.0,6.0,-18.0,-5.857142857142857
31,-28.0,-12.714285714285714,-33.0,0.7142857142857143,6.0,-4.142857142857143
32,-29.0,-18.285714285714285,-39.0,-7.428571428571429,-13.0,-5.571428571428571
33,-39.0,-24.0,-36.0,-15.0,-7.0,-6.428571428571429
34,-46.0,-28.571428571428573,-58.0,-27.142857142857142,-10.0,-7.428571428571429
35,-32.0,-32.0,-39.0,-37.42857142857143,-17.0,-9.285714285714286
36,-30.0,-32.857142857142854,-53.0,-43.857142857142854,-10.0,-9.857142857142858
37,-32.0,-33.714285714285715,-73.0,-47.285714285714285,-8.0,-8.428571428571429
38,-32.0,-34.285714285714285,-46.0,-49.142857142857146,-1.0,-9.428571428571429
39,-30.0,-34.42857142857143,-50.0,-50.714285714285715,-7.0,-8.571428571428571
40,-36.0,-34.0,-51.0,-52.857142857142854,-10.0,-9.0
41,-41.0,-33.285714285714285,-52.0,-52.0,-11.0,-9.142857142857142
42,-31.0,-33.142857142857146,-49.0,-53.42857142857143,-8.0,-7.857142857142857
43,-29.0,-33.0,-57.0,-54.0,-7.0,-7.428571428571429
44,-27.0,-32.285714285714285,-76.0,-54.42857142857143,-14.0,-8.285714285714286
45,-20.0,-30.571428571428573,-55.0,-55.714285714285715,1.0,-8.0
46,-33.0,-31.0,-55.0,-56.42857142857143,-11.0,-8.571428571428571
47,-32.0,-30.428571428571427,-53.0,-56.714285714285715,-3.0,-7.571428571428571
48,-63.0,-33.57142857142857,-52.0,-56.714285714285715,-5.0,-6.714285714285714
49,-41.0,-35.0,-48.0,-56.57142857142857,-5.0,-6.285714285714286
50,-26.0,-34.57142857142857,-56.0,-56.42857142857143,1.0,-5.142857142857143
51,-27.0,-34.57142857142857,-77.0,-56.57142857142857,1.0,-3.0
52,-27.0,-35.57142857142857,-51.0,-56.0,1.0,-3.0
53,-30.0,-35.142857142857146,-41.0,-54.0,-5.0,-2.142857142857143
54,-37.0,-35.857142857142854,-31.0,-50.857142857142854,-1.0,-1.8571428571428572
55,-40.0,-32.57142857142857,-66.0,-52.857142857142854,-13.0,-3.0
56,-30.0,-31.0,-90.0,-58.857142857142854,-2.0,-2.5714285714285716
57,-28.0,-31.285714285714285,-44.0,-57.142857142857146,4.0,-2.142857142857143
58,-28.0,-31.428571428571427,-74.0,-56.714285714285715,-8.0,-3.4285714285714284
59,-27.0,-31.428571428571427,-65.0,-58.714285714285715,6.0,-2.7142857142857144
60,-26.0,-30.857142857142858,-41.0,-58.714285714285715,0.0,-2.0
61,-32.0,-30.142857142857142,-46.0,-60.857142857142854,1.0,-1.7142857142857142
62,-37.0,-29.714285714285715,-46.0,-58.0,-8.0,-1.0
63,-29.0,-29.571428571428573,-45.0,-51.57142857142857,-4.0,-1.2857142857142858
64,-33.0,-30.285714285714285,-54.0,-53.0,2.0,-1.5714285714285714
65,-30.0,-30.571428571428573,-76.0,-53.285714285714285,11.0,1.1428571428571428
66,-28.0,-30.714285714285715,-56.0,-52.0,4.0,0.8571428571428571
67,-27.0,-30.857142857142858,-51.0,-53.42857142857143,2.0,1.1428571428571428
68,-30.0,-30.571428571428573,-47.0,-53.57142857142857,0.0,1.0
69,-37.0,-30.571428571428573,-51.0,-54.285714285714285,-2.0,1.8571428571428572
70,-27.0,-30.285714285714285,-46.0,-54.42857142857143,1.0,2.5714285714285716
71,-25.0,-29.142857142857142,-52.0,-54.142857142857146,5.0,3.0
72,-22.0,-28.0,-66.0,-52.714285714285715,14.0,3.4285714285714284
73,-15.0,-26.142857142857142,-50.0,-51.857142857142854,6.0,3.7142857142857144
74,-28.0,-26.285714285714285,-45.0,-51.0,2.0,3.7142857142857144
75,-29.0,-26.142857142857142,-41.0,-50.142857142857146,0.0,3.7142857142857144
76,-37.0,-26.142857142857142,-30.0,-47.142857142857146,-2.0,3.7142857142857144
77,-25.0,-25.857142857142858,-88.0,-53.142857142857146,2.0,3.857142857142857
78,-23.0,-25.571428571428573,-31.0,-50.142857142857146,10.0,4.571428571428571
79,-23.0,-25.714285714285715,-44.0,-47.0,-10.0,1.1428571428571428
80,-21.0,-26.571428571428573,-35.0,-44.857142857142854,10.0,1.7142857142857142
81,-21.0,-25.571428571428573,-32.0,-43.0,9.0,2.7142857142857144
82,-25.0,-25.0,-32.0,-41.714285714285715,23.0,6.0
83,-29.0,-23.857142857142858,-33.0,-42.142857142857146,-2.0,6.0
84,-20.0,-23.142857142857142,-34.0,-34.42857142857143,-7.0,4.714285714285714
85,-18.0,-22.428571428571427,-38.0,-35.42857142857143,8.0,4.428571428571429
86,-16.0,-21.428571428571427,-57.0,-37.285714285714285,1.0,6.0
87,-16.0,-20.714285714285715,-28.0,-36.285714285714285,5.0,5.285714285714286
88,-18.0,-20.285714285714285,-29.0,-35.857142857142854,-1.0,3.857142857142857
89,-23.0,-20.0,-26.0,-35.0,-3.0,0.14285714285714285
90,-25.0,-19.428571428571427,-30.0,-34.57142857142857,-2.0,0.14285714285714285
91,-23.0,-19.857142857142858,-29.0,-33.857142857142854,2.0,1.4285714285714286
92,-14.0,-19.285714285714285,-31.0,-32.857142857142854,9.0,1.5714285714285714
93,-15.0,-19.142857142857142,-41.0,-30.571428571428573,1.0,1.5714285714285714
94,-12.0,-18.571428571428573,-23.0,-29.857142857142858,11.0,2.4285714285714284
95,-12.0,-17.714285714285715,-21.0,-28.714285714285715,8.0,3.7142857142857144
96,-16.0,-16.714285714285715,-20.0,-27.857142857142858,17.0,6.571428571428571
97,-19.0,-15.857142857142858,-18.0,-26.142857142857142,29.0,11.0
98,-13.0,-14.428571428571429,-19.0,-24.714285714285715,22.0,13.857142857142858
99,-15.0,-14.571428571428571,-23.0,-23.571428571428573,10.0,14.0
100,-19.0,-15.142857142857142,-33.0,-22.428571428571427,19.0,16.571428571428573
101,-17.0,-15.857142857142858,-17.0,-21.571428571428573,30.0,19.285714285714285
102,-17.0,-16.571428571428573,-16.0,-20.857142857142858,23.0,21.428571428571427
103,-22.0,-17.428571428571427,-15.0,-20.142857142857142,9.0,20.285714285714285
104,-23.0,-18.0,-12.0,-19.285714285714285,7.0,17.142857142857142
105,-17.0,-18.571428571428573,-13.0,-18.428571428571427,8.0,15.142857142857142
106,-17.0,-18.857142857142858,-16.0,-17.428571428571427,-2.0,13.428571428571429
107,-19.0,-18.857142857142858,-26.0,-16.428571428571427,1.0,10.857142857142858
108,-17.0,-18.857142857142858,-16.0,-16.285714285714285,14.0,8.571428571428571
109,-17.0,-18.857142857142858,-11.0,-15.571428571428571,7.0,6.285714285714286
110,-17.0,-18.142857142857142,-10.0,-14.857142857142858,8.0,6.142857142857143
111,-20.0,-17.714285714285715,-10.0,-14.571428571428571,7.0,6.142857142857143
112,-14.0,-17.285714285714285,-10.0,-14.142857142857142,-3.0,4.571428571428571
113,-13.0,-16.714285714285715,-14.0,-13.857142857142858,12.0,6.571428571428571
114,-14.0,-16.0,-25.0,-13.714285714285714,25.0,10.0
115,-15.0,-15.714285714285714,-12.0,-13.142857142857142,4.0,8.571428571428571
116,-11.0,-14.857142857142858,-14.0,-13.571428571428571,7.0,8.571428571428571
117,-10.0,-13.857142857142858,-8.0,-13.285714285714286,12.0,9.142857142857142
118,-17.0,-13.428571428571429,-13.0,-13.714285714285714,7.0,9.142857142857142
119,-13.0,-13.285714285714286,-9.0,-13.571428571428571,8.0,10.714285714285714
120,-10.0,-12.857142857142858,-13.0,-13.428571428571429,14.0,11.0
121,-8.0,-12.0,-17.0,-12.285714285714286,4.0,8.0
122,-6.0,-10.714285714285714,-10.0,-12.0,18.0,10.0
123,-9.0,-10.428571428571429,-10.0,-11.428571428571429,8.0,10.142857142857142
124,-15.0,-11.142857142857142,-7.0,-11.285714285714286,11.0,10.0
125,-19.0,-11.428571428571429,-8.0,-10.571428571428571,7.0,10.0
126,-14.0,-11.571428571428571,-8.0,-10.428571428571429,9.0,10.142857142857142
127,-12.0,-11.857142857142858,-12.0,-10.285714285714286,11.0,9.714285714285714
128,-13.0,-12.571428571428571,-11.0,-9.428571428571429,21.0,12.142857142857142
129,-11.0,-13.285714285714286,-6.0,-8.857142857142858,16.0,11.857142857142858
130,-12.0,-13.714285714285714,,,7.0,11.714285714285714
